,Compound,Date,Negative,Neutral,Positive,Tweets Ago,Username
394,0.0186,Tue Oct 02 00:16:32 +0000 2018,0.75,0.123,0.127,95,@FoxNews
395,0.4005,Tue Oct 02 00:07:45 +0000 2018,0.784,0.069,0.147,96,@FoxNews
396,-0.3597,Tue Oct 02 00:02:41 +0000 2018,0.884,0.116,0.0,97,@FoxNews
397,-0.3182,Mon Oct 01 23:58:07 +0000 2018,0.881,0.119,0.0,98,@FoxNews
398,0.5267,Mon Oct 01 23:47:49 +0000 2018,0.841,0.0,0.159,99,@FoxNews
399,0.0,Mon Oct 01 23:38:38 +0000 2018,1.0,0.0,0.0,100,@FoxNews
400,0.0,Tue Oct 02 16:30:11 +0000 2018,1.0,0.0,0.0,1,@NYTimes
401,0.0,Tue Oct 02 16:20:03 +0000 2018,1.0,0.0,0.0,2,@NYTimes
402,0.0,Tue Oct 02 16:10:04 +0000 2018,1.0,0.0,0.0,3,@NYTimes
403,-0.4939,Tue Oct 02 16:00:11 +0000 2018,0.862,0.138,0.0,4,@NYTimes
404,0.25,Tue Oct 02 15:45:05 +0000 2018,0.905,0.0,0.095,5,@NYTimes
405,0.0,Tue Oct 02 15:30:13 +0000 2018,1.0,0.0,0.0,6,@NYTimes
406,0.0,Tue Oct 02 15:15:08 +0000 2018,1.0,0.0,0.0,7,@NYTimes
407,0.4019,Tue Oct 02 15:00:12 +0000 2018,0.876,0.0,0.124,8,@NYTimes
408,-0.6077,Tue Oct 02 14:46:04 +0000 2018,0.853,0.147,0.0,9,@NYTimes
409,-0.6486,Tue Oct 02 14:30:12 +0000 2018,0.671,0.24,0.088,10,@NYTimes
410,-0.3818,Tue Oct 02 14:16:03 +0000 2018,0.885,0.115,0.0,11,@NYTimes
411,-0.5499,Tue Oct 02 14:07:04 +0000 2018,0.843,0.157,0.0,12,@NYTimes
412,-0.9136,Tue Oct 02 14:00:12 +0000 2018,0.572,0.428,0.0,13,@NYTimes
413,0.0,Tue Oct 02 13:45:08 +0000 2018,1.0,0.0,0.0,14,@NYTimes
414,0.2716,Tue Oct 02 13:29:05 +0000 2018,0.901,0.0,0.099,15,@NYTimes
415,-0.3272,Tue Oct 02 13:15:07 +0000 2018,0.677,0.192,0.131,16,@NYTimes
416,0.0,Tue Oct 02 13:00:12 +0000 2018,1.0,0.0,0.0,17,@NYTimes
417,0.0258,Tue Oct 02 12:44:03 +0000 2018,0.853,0.071,0.076,18,@NYTimes
418,0.4767,Tue Oct 02 12:30:10 +0000 2018,0.846,0.0,0.154,19,@NYTimes
419,0.0,Tue Oct 02 12:14:04 +0000 2018,1.0,0.0,0.0,20,@NYTimes
420,0.6369,Tue Oct 02 12:10:07 +0000 2018,0.802,0.0,0.198,21,@NYTimes
421,-0.4767,Tue Oct 02 12:00:14 +0000 2018,0.853,0.147,0.0,22,@NYTimes
422,-0.5574,Tue Oct 02 11:45:05 +0000 2018,0.847,0.153,0.0,23,@NYTimes
423,-0.0772,Tue Oct 02 11:30:11 +0000 2018,0.704,0.178,0.117,24,@NYTimes
424,0.0,Tue Oct 02 11:15:07 +0000 2018,1.0,0.0,0.0,25,@NYTimes
425,-0.5267,Tue Oct 02 11:00:02 +0000 2018,0.748,0.252,0.0,26,@NYTimes
426,0.3612,Tue Oct 02 10:50:03 +0000 2018,0.8,0.0,0.2,27,@NYTimes
427,0.1027,Tue Oct 02 10:46:39 +0000 2018,0.84,0.053,0.107,28,@NYTimes
428,0.0,Tue Oct 02 10:40:06 +0000 2018,1.0,0.0,0.0,29,@NYTimes
429,0.0,Tue Oct 02 10:31:00 +0000 2018,1.0,0.0,0.0,30,@NYTimes
430,0.7184,Tue Oct 02 10:22:55 +0000 2018,0.76,0.0,0.24,31,@NYTimes
431,0.0,Tue Oct 02 10:15:08 +0000 2018,1.0,0.0,0.0,32,@NYTimes
432,-0.4404,Tue Oct 02 09:49:52 +0000 2018,0.805,0.195,0.0,33,@NYTimes
433,0.4939,Tue Oct 02 09:45:07 +0000 2018,0.785,0.062,0.153,34,@NYTimes
434,0.0772,Tue Oct 02 09:31:04 +0000 2018,0.677,0.175,0.147,35,@NYTimes
435,-0.886,Tue Oct 02 09:15:05 +0000 2018,0.49,0.51,0.0,36,@NYTimes
436,0.0,Tue Oct 02 09:00:18 +0000 2018,1.0,0.0,0.0,37,@NYTimes
437,0.0,Tue Oct 02 08:45:03 +0000 2018,1.0,0.0,0.0,38,@NYTimes
438,-0.6486,Tue Oct 02 08:30:08 +0000 2018,0.773,0.227,0.0,39,@NYTimes
439,-0.2617,Tue Oct 02 08:15:07 +0000 2018,0.821,0.179,0.0,40,@NYTimes
440,0.4019,Tue Oct 02 08:00:06 +0000 2018,0.886,0.0,0.114,41,@NYTimes
441,-0.7906,Tue Oct 02 07:45:01 +0000 2018,0.636,0.364,0.0,42,@NYTimes
442,-0.1779,Tue Oct 02 07:33:03 +0000 2018,0.829,0.104,0.067,43,@NYTimes
443,-0.5994,Tue Oct 02 07:27:44 +0000 2018,0.83,0.17,0.0,44,@NYTimes
